id,weight_ratio,OT_us_IPC,OT_us_Bullet,OT_IPC_Bullet
1344054_sf_m2_p2,0.11527274218259796,0.03834461751021344,0.05991019565750251,0.02688797997463438
250143_sf_m0_p0,0.345207071566321,0.15227194048912293,0.6450065734749288,0.6358996146615354
250143_sf_m2_p0,0.26114779682290556,0.03827765256944854,0.268391317762967,0.24192253417108942
250143_sf_m2_p1,0.1946289883576479,0.15773573621087017,0.15068516701000212,0.11656884461238133
250143_sf_m2_p2,0.31735973117353206,0.10041939078241516,0.19950579479049907,0.1731014370311746
72881_sf_m0_p0,0.26114779682290556,0.11875113487445813,0.17186646403836298,0.09833730544052215
72881_sf_m2_p0,0.17317569780357586,0.029492949317832532,0.14996455851610999,0.14852131660117393
72881_sf_m2_p1,0.41395166191071886,0.2425682125708946,0.3349524406280265,0.15636602721627837
72881_sf_m2_p2,0.1439190403897082,0.0687689761062228,0.14691174123683193,0.08394098102016125
92880_sf_m0_p0,0.12257079209807682,0.008609279606740516,0.047620605112184314,0.04320786172169552
92880_sf_m2_p0,0.19674893219963194,0.08791574296186241,0.18313824005805415,0.1420600850212364
92880_sf_m2_p1,0.19515579121928206,0.05643975223201464,0.0787987641256582,0.13050337600721482
92880_sf_m2_p2,0.28885269354162724,0.30859134236041647,0.23069466681435263,0.4378549555567704
354371_sf_m0_p0,0.13286572959197607,0.0715752481255452,0.18502937354019378,0.11823657523271873
354371_sf_m2_p0,0.21018240517130338,0.12180039455305766,0.17537058216417503,0.053570188190183825
354371_sf_m2_p1,0.14332539245197543,0.04379456989410387,0.0480467387721387,0.004269762182875802
354371_sf_m2_p2,0.14496070949224465,0.09895099394019846,0.12909493029513122,0.030295399240734527
54674_sf_m0_p0,0.24334074601506886,0.31798895741643596,0.44336149505326433,0.12537254205421375
54674_sf_m2_p0,0.2812395168388264,0.07368103603792478,0.21210802937954487,0.14532811148604696
54674_sf_m2_p1,0.19712533364004428,0.11197269017057088,0.10925450588789014,0.07787558785204879
54674_sf_m2_p2,0.2289396109893987,0.1482279163424718,0.3575588334957803,0.2283444151267931
104442_sf_m0_p0,0.33525590874950023,0.1049236850762776,0.27370580001826417,0.23729360109943384
104442_sf_m2_p0,0.18767550889396298,0.06448813501331717,0.22924004888336197,0.17860089937754056
104442_sf_m2_p1,0.12382732037378734,0.10477441766724563,0.6449848439649597,0.6587892474353647
104442_sf_m2_p2,0.07352194427118723,0.10568750439291887,0.5343735859137043,0.5751309542527618
68380_sf_m0_p0,0.3437205643978427,0.10962360998205434,0.2075498170292976,0.12485506467014439
68380_sf_m2_p0,0.245389865907377,0.14431578509623533,0.17949922174448552,0.2108823000248653
68380_sf_m2_p1,0.30607246260945487,0.1686444133656336,0.26257661464286086,0.09758458533584498
68380_sf_m2_p2,0.2500944860251734,0.07411815231766572,0.11948455010814028,0.08644555933003023
1344044_sf_m0_p0,0.3099534558967507,0.15985640002580465,0.2875439047451147,0.15543196393649975
1344044_sf_m2_p0,0.2577649585074873,0.034601320562698046,0.038068489232087124,0.017854584646488526
1344044_sf_m2_p1,0.36338495339156185,0.14780019924067767,0.18795093783531866,0.10231722566177465
1344044_sf_m2_p2,0.28457620022074803,0.2154074746922759,0.2771415839382889,0.11516503523267371
682289_sf_m0_p0,0.0034036159932388822,0.008652202746791711,0.01135297150673995,0.00483517718298983
682289_sf_m2_p0,0.05603845546265635,0.05844196504045908,0.08328719447846429,0.02515229381704158
682289_sf_m2_p1,0.04871788512272998,0.06274271064558905,0.1357429788001142,0.08523031022320504
682289_sf_m2_p2,0.054866597616670724,0.036428327920588546,0.08077246484939112,0.04478838770271672
72879_sf_m2_p0,0.31422039992104445,0.24334640777942865,0.41315251183422663,0.34100236685418506
72879_sf_m2_p2,0.23726102718895845,0.16157076054244413,0.21993330311681797,0.26788635049765847
59941_sf_m2_p1,0.1922090374479356,0.1094538947835416,0.27475935808484037,0.1769876993670802
67122_sf_m0_p0,0.3017609552010954,0.02908891406261286,0.13092154356327432,0.11932442069020718
67122_sf_m2_p0,0.14888069574059803,0.04994505235244848,0.16698408313016694,0.14028306823319722
67122_sf_m2_p1,0.16625325355379386,0.032941592553874646,0.11140983975691855,0.07863616633016687
67122_sf_m2_p2,0.08073293643279483,0.029366099551291887,0.04953965800967098,0.041714787051286284
1436277_sf_m0_p0,0.1748245430140079,0.010828079050562774,0.010231252203637886,0.007155619713244474
1436277_sf_m2_p0,0.30873353325795133,0.056056240909688755,0.03230250121204322,0.03565487453755315
1436277_sf_m2_p1,0.06672356129954539,0.036850042455535144,0.061559313551459986,0.024709283336419627
1436277_sf_m2_p2,0.2324394281879895,0.1705924868347077,0.17218794466977227,0.22699477930111284
101902_sf_m0_p0,0.14794566044993315,0.10363578988696867,0.15207085292627404,0.05032070068141746
101902_sf_m2_p0,0.23111446328674942,0.16356075210328494,0.3904955441264153,0.3325207941207087
101902_sf_m2_p1,0.2011622987715702,0.1591945366577761,0.3498432678213541,0.2215678270655397
101902_sf_m2_p2,0.3446293391228974,0.0997963118274917,0.4703998462743471,0.4949999955267678
75660_sf_m0_p0,0.29114372894743507,0.1615355691691381,0.4107166976952034,0.4046832741662922
75660_sf_m2_p0,0.21876483547753384,0.1838858833883372,0.22893901503483008,0.08141816107742629
75660_sf_m2_p1,0.26090190243582856,0.20952324558803948,0.33226285688229584,0.14683478493796176
75660_sf_m2_p2,0.14030463163209125,0.07027049945563174,0.37618271958146876,0.4395152600842101
321050_sf_m2_p1,0.34568135329673483,0.18728238197197422,0.23555446052997092,0.302048918309093
321050_sf_m2_p2,0.17244756393893046,0.08472754971012496,0.8999291685766891,0.8634256105679234
83023_sf_m0_p0,0.03565691429536514,0.05594523149417262,0.048044813610680775,0.007900489044694757
83023_sf_m2_p0,0.0402607893341844,0.043006993382592965,0.1735081965451036,0.21651518314525517
83023_sf_m2_p1,0.05436517996845971,0.029718561760586217,0.02579393085940238,0.05531908224486832
83023_sf_m2_p2,0.06765175292765732,0.06328058999924341,0.07389657098063837,0.010615980981394954
75654_sf_m0_p0,0.3404101415815313,0.19066123726217013,0.27031576729249196,0.26000071880838455
75654_sf_m2_p0,0.10509876244544855,0.058090756274197033,0.9491669408393082,0.9729811637324299
75654_sf_m2_p1,0.13707299051261032,0.1262713163162551,0.17100282564904312,0.19110030148230717
75654_sf_m2_p2,0.22847806165443219,0.14893114424900938,0.41545123761836866,0.28944321974388815
682292_sf_m0_p0,0.4893401753544878,0.018817922345699827,0.15112314530316878,0.1462306373041803
682292_sf_m2_p0,0.32651511927489335,0.09612193569542946,0.5413335515738349,0.6323425433955004
682292_sf_m2_p1,0.11202120669523054,0.07093503213306643,0.06291692120170121,0.11548300121560778
682292_sf_m2_p2,0.1915596852801207,0.4246973744214422,0.42263973909880487,0.08787266391011299
39085_sf_m0_p0,0.7183442440958387,0.14210401181947407,0.12819023101486657,0.15938558773329764
39085_sf_m2_p0,0.34283486713953626,0.10555050425524812,0.21883419026976636,0.19676843826774382
